Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
263,"Entropy of Energy,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.65,0.4(0.9),AB(All)
264,"Entropy of Energy,Spectral Rolloff",2,4,0,0.0(0.852459016393),GP-DP(All)
265,"Entropy of Energy,Spectral Rolloff,Chroma Deviation",3,6,0.576612903226,0.25(0.903225806452),KNN(All)
266,"Entropy of Energy,Spectral Rolloff,Chroma Vector",3,28,0.553734061931,0.222222222222(0.885245901639),KNN(All)
267,"Entropy of Energy,Spectral Rolloff,Chroma Vector,Chroma Deviation",4,30,0.497126436782,0.166666666667(0.827586206897),AB(All)
268,"Entropy of Energy,Spectral Rolloff,MFCCs",3,30,0.576612903226,0.25(0.903225806452),KNN(All)
269,"Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Deviation",4,32,0.576612903226,0.25(0.903225806452),KNN(All)
270,"Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Vector",4,54,0.576612903226,0.25(0.903225806452),KNN(All)
271,"Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.553734061931,0.222222222222(0.885245901639),KNN(All)
272,"Entropy of Energy,Spectral Flux",2,4,0,0.0(0.852459016393),GP-DP(All)
273,"Entropy of Energy,Spectral Flux,Chroma Deviation",3,6,0.553734061931,0.222222222222(0.885245901639),KNN(All)
274,"Entropy of Energy,Spectral Flux,Chroma Vector",3,28,0.497126436782,0.166666666667(0.827586206897),AB(All)
275,"Entropy of Energy,Spectral Flux,Chroma Vector,Chroma Deviation",4,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
276,"Entropy of Energy,Spectral Flux,MFCCs",3,30,0.553571428571,0.285714285714(0.821428571429),AB(All)
277,"Entropy of Energy,Spectral Flux,MFCCs,Chroma Deviation",4,32,0.597701149425,0.333333333333(0.862068965517),KNN(All)
278,"Entropy of Energy,Spectral Flux,MFCCs,Chroma Vector",4,54,0.576612903226,0.25(0.903225806452),KNN(All)
279,"Entropy of Energy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",5,56,0,0.0(0.833333333333),GP-DP(All)
280,"Entropy of Energy,Spectral Flux,Spectral Rolloff",3,6,0,0.0(0.852459016393),GP-DP(All)
