Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1130,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1131,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,17,0.576612903226,0.25(0.903225806452),Linear SVM(All)
1132,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs",5,17,0.514637904468,0.181818181818(0.847457627119),AB(All)
1133,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",6,18,0.62249614792,0.363636363636(0.881355932203),AB(All)
1134,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",6,29,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1135,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,30,0.730354391371,0.545454545455(0.915254237288),AB(All)
1136,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux",4,4,0.533333333333,0.2(0.866666666667),AB(All)
1137,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Deviation",5,5,0.553734061931,0.222222222222(0.885245901639),KNN(All)
1138,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector",5,16,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1139,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",6,17,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1140,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs",5,17,0.669365721997,0.461538461538(0.877192982456),AB(All)
1141,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",6,18,0.62249614792,0.363636363636(0.881355932203),AB(All)
1142,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",6,29,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1143,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",7,30,0.62249614792,0.363636363636(0.881355932203),AB(All)
1144,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff",5,5,0.574898785425,0.307692307692(0.842105263158),AB(All)
1145,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",6,6,0.62249614792,0.363636363636(0.881355932203),KNN(All)
1146,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",6,17,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1147,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",7,18,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1148,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",6,18,0.574898785425,0.307692307692(0.842105263158),AB(All)
1149,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",7,19,0.597701149425,0.333333333333(0.862068965517),AB(All)
1150,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",7,30,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1151,"Zero-crossing Rate,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",8,31,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1152,"Zero-crossing Rate,Spectral Centroid",2,2,0.497126436782,0.166666666667(0.827586206897),AB(All)
1153,"Zero-crossing Rate,Spectral Centroid,Chroma Deviation",3,3,0.574898785425,0.307692307692(0.842105263158),AB(All)
1154,"Zero-crossing Rate,Spectral Centroid,Chroma Vector",3,14,0.65,0.4(0.9),GP-DP(All)
1155,"Zero-crossing Rate,Spectral Centroid,Chroma Vector,Chroma Deviation",4,15,0.65,0.4(0.9),GP-DP(All)
1156,"Zero-crossing Rate,Spectral Centroid,MFCCs",3,15,0.642857142857,0.428571428571(0.857142857143),AB(All)
