Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
1774,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",8,62,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1775,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",9,64,0.65,0.4(0.9),Linear SVM(All)
1776,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux",6,12,0.480431848853,0.153846153846(0.80701754386),AB(All)
1777,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Deviation",7,14,0.476495726496,0.222222222222(0.730769230769),AB(All)
1778,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector",7,36,0.497126436782,0.166666666667(0.827586206897),AB(All)
1779,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",8,38,0,0.0(0.888888888889),GP-DP(MRMR)
1780,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs",7,38,0,0.0(0.888888888889),GP-DP(MRMR)
1781,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",8,40,0.533333333333,0.2(0.866666666667),AB(All)
1782,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",8,62,0.533333333333,0.2(0.866666666667),AB(All)
1783,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",9,64,0,0.0(0.888888888889),GP-DP(MRMR)
1784,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff",7,14,0,0.0(0.888888888889),GP-DP(MRMR)
1785,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",8,16,0.553571428571,0.285714285714(0.821428571429),AB(All)
1786,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",8,38,0.576612903226,0.25(0.903225806452),Linear SVM(All)
1787,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",9,40,0.576612903226,0.25(0.903225806452),Linear SVM(All)
1788,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",8,40,0,0.0(0.888888888889),GP-DP(MRMR)
1789,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",9,42,0,0.0(0.888888888889),GP-DP(MRMR)
1790,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",9,64,0.553734061931,0.222222222222(0.885245901639),Linear SVM(All)
1791,"Zero-crossing Rate,Energy,Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",10,66,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1792,"Zero-crossing Rate,Energy,Entropy of Energy",3,6,0,0.0(0.888888888889),GP-DP(MRMR)
1793,"Zero-crossing Rate,Energy,Entropy of Energy,Chroma Deviation",4,8,0,0.0(0.888888888889),GP-DP(MRMR)
1794,"Zero-crossing Rate,Energy,Entropy of Energy,Chroma Vector",4,30,0.533333333333,0.2(0.866666666667),AB(All)
1795,"Zero-crossing Rate,Energy,Entropy of Energy,Chroma Vector,Chroma Deviation",5,32,0.553734061931,0.222222222222(0.885245901639),GP-DP(All)
1796,"Zero-crossing Rate,Energy,Entropy of Energy,MFCCs",4,32,0,0.0(0.888888888889),GP-DP(MRMR)
1797,"Zero-crossing Rate,Energy,Entropy of Energy,MFCCs,Chroma Deviation",5,34,0,0.0(0.888888888889),GP-DP(MRMR)
1798,"Zero-crossing Rate,Energy,Entropy of Energy,MFCCs,Chroma Vector",5,56,0.514637904468,0.181818181818(0.847457627119),AB(All)
1799,"Zero-crossing Rate,Energy,Entropy of Energy,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.597701149425,0.333333333333(0.862068965517),AB(All)
1800,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff",4,8,0,0.0(0.888888888889),GP-DP(MRMR)
1801,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff,Chroma Deviation",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1802,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff,Chroma Vector",5,32,0,0.0(0.888888888889),GP-DP(MRMR)
1803,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.553734061931,0.222222222222(0.885245901639),AB(All)
1804,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff,MFCCs",5,34,0,0.0(0.888888888889),GP-DP(MRMR)
1805,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0,0.0(0.888888888889),GP-DP(MRMR)
1806,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.533333333333,0.2(0.866666666667),AB(All)
1807,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0,0.0(0.888888888889),GP-DP(MRMR)
1808,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux",4,8,0,0.0(0.888888888889),GP-DP(MRMR)
1809,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Chroma Deviation",5,10,0,0.0(0.888888888889),GP-DP(MRMR)
1810,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Chroma Vector",5,32,0,0.0(0.888888888889),GP-DP(MRMR)
1811,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,Chroma Vector,Chroma Deviation",6,34,0.514637904468,0.181818181818(0.847457627119),AB(All)
1812,"Zero-crossing Rate,Energy,Entropy of Energy,Spectral Flux,MFCCs",5,34,0.553734061931,0.222222222222(0.885245901639),AB(All)
